Title,Features.Max Players,Features.Online?,Metadata.Genres,Metadata.Publishers,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Year,Length.All PlayStyles.Average,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Rushed
Mega Man ZX,1,TRUE,Action,Capcom,76,0.14,19.95,Nintendo DS,T,2006,11.26666667,15.96666667,16.45,15.48333333,13.13333333,16.53333333,10.75,8.883333333,11.95,6.933333333
Untold Legends: The Warrior's Code,1,TRUE,"Action,Role-Playing (RPG)","Sony,Ubisoft",65,0.14,14.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0
Super Swing Golf,1,TRUE,Sports,,72,0.14,16.95,Nintendo Wii,T,2006,0,0,0,0,0,0,0,0,0,0
X-Men: The Official Game,1,TRUE,Action,Activision,52,0.14,14.95,X360,M,2006,11.88333333,11.31666667,12.13333333,10.48333333,12.06666667,14.18333333,9.95,12.5,13.25,11.75
Untold Legends: Dark Kingdom,2,TRUE,"Action,Role-Playing (RPG)","EA,Sony",58,0.13,16.95,PlayStation 3,E,2006,24.75,28,28,28,23.66666667,24.66666667,22.66666667,0,0,0
Happy Feet,2,TRUE,Action,Midway,46,0.13,14.95,Nintendo Wii,E,2006,0.666666667,0,0,0,0,0,0,0.666666667,0.666666667,0.666666667
Open Season,1,TRUE,Action,Ubisoft,72,0.13,17.95,Nintendo DS,T,2006,5.466666667,7.616666667,9.016666667,5.766666667,2.25,2.25,2.25,3.666666667,3.783333333,3.533333333
Dungeon Siege: Throne of Agony,1,TRUE,Role-Playing (RPG),2K,74,0.13,24.95,Sony PSP,E,2006,17.6,16.83333333,16.83333333,16.83333333,18.38333333,19.18333333,17.58333333,17.21666667,17.6,16.83333333
LocoRoco,1,TRUE,"Action,Strategy",Sony,83,0.13,17.95,Sony PSP,T,2006,8.166666667,18.66666667,18.66666667,18.66666667,13.51666667,21.73333333,9.683333333,5.4,9.133333333,4.1
Dead or Alive: Xtreme 2,1,TRUE,"Racing / Driving,Sports",,53,0.13,14.95,X360,T,2006,1,0,0,0,0,0,0,1,1,1
Fuzion Frenzy 2,4,TRUE,"Action,Sports",Microsoft,49,0.12,14.95,X360,T,2006,4.366666667,9,9,9,5,5,5,1.75,2.116666667,1.366666667
MotoGP '06,4,TRUE,"Racing / Driving,Simulation,Sports",THQ,80,0.12,14.95,X360,M,2006,0,0,0,0,0,0,0,0,0,0
Lumines II,2,TRUE,Strategy,,81,0.12,14.95,Sony PSP,E,2006,14.5,0,0,0,14,14,14,15,15,15
Major League Baseball 2K6,1,TRUE,Sports,2K,69,0.12,4.95,Sony PSP,M,2006,7.65,7.65,9.9,5.4,0,0,0,0,0,0
Star Wars: Lethal Alliance,1,TRUE,Action,Ubisoft,61,0.12,17.95,Sony PSP,T,2006,5.666666667,0,0,0,0,0,0,5.666666667,6.216666667,5.166666667
Worms: Open Warfare,1,TRUE,"Action,Strategy",THQ,70,0.12,17.95,Sony PSP,T,2006,9.116666667,10,10,10,0,0,0,8.25,8.25,8.25
Eragon,4,TRUE,Action,,59,0.11,14.95,Sony PSP,E,2006,8.833333333,11.66666667,13.91666667,9.416666667,0,0,0,5.433333333,6.35,4.233333333
Metal Slug Anthology,4,TRUE,Action,,73,0.11,16.95,Nintendo Wii,T,2006,7.483333333,8.5,9.25,7.75,11,13,9,6.666666667,10.16666667,4.833333333
Open Season,4,TRUE,Action,Ubisoft,59,0.11,14.95,X360,E,2006,5.466666667,7.616666667,9.016666667,5.766666667,2.25,2.25,2.25,3.666666667,3.783333333,3.533333333
Tom Clancy's Splinter Cell: Double Agent,2,TRUE,Action,Ubisoft,61,0.11,17.95,Nintendo Wii,T,2006,12.41666667,17.36666667,37.16666667,11.21666667,11.93333333,19.25,8.733333333,11.61666667,15.65,9.65
Avatar: The Last Airbender,1,TRUE,Action,THQ,57,0.11,17.95,Sony PSP,E,2006,4.75,4.066666667,6.016666667,2.183333333,0,0,0,5.333333333,6.583333333,3.5
Lemmings,1,TRUE,Strategy,Sony,76,0.11,17.95,Sony PSP,E,2006,20.43333333,13.6,13.6,13.6,22.08333333,26.45,18.26666667,20.46666667,23.01666667,16.51666667
Mega Man Powered Up,1,TRUE,Action,Capcom,82,0.11,16.95,Sony PSP,E,2006,5.633333333,0,0,0,8.5,9.116666667,7.866666667,2.783333333,3.433333333,2.133333333
College Hoops 2K6,1,TRUE,Sports,2K,70,0.11,6.95,X360,E,2006,1.55,1.55,1.783333333,1.333333333,0,0,0,0,0,0
Dynasty Warriors 5: Empires,2,TRUE,"Action,Role-Playing (RPG),Strategy",,61,0.1,14.95,X360,T,2006,34.31666667,42.93333333,83.23333333,25.73333333,0,0,0,14.21666667,14.55,13.9
Magical Starsign,1,TRUE,Role-Playing (RPG),Nintendo,69,0.1,9.95,Nintendo DS,E,2006,28.96666667,34,34,34,32.18333333,35.73333333,29.03333333,27.21666667,30.98333333,23.73333333
Resident Evil: Deadly Silence,1,TRUE,Action,Capcom,71,0.1,17.95,Nintendo DS,E,2006,6.9,10.28333333,11.63333333,8.933333333,7.583333333,8.5,6.283333333,5.983333333,6.983333333,4.616666667
X-Men: The Official Game,1,TRUE,Action,Activision,50,0.1,14.95,Nintendo DS,E,2006,11.88333333,11.31666667,12.13333333,10.48333333,12.06666667,14.18333333,9.95,12.5,13.25,11.75
Cabela's African Safari,1,TRUE,Sports,Activision,53,0.1,17.95,X360,E,2006,0,0,0,0,0,0,0,0,0,0
Cabela's Alaskan Adventures,1,TRUE,Sports,Activision,48,0.1,17.95,X360,E,2006,20,20,20,20,0,0,0,0,0,0
Armored Core 4,2,TRUE,Action,Sega,65,0.09,19.95,PlayStation 3,E,2006,20.6,0,0,0,19,19.5,18.5,23,24,22
Eragon,2,TRUE,Action,,48,0.09,12.95,X360,T,2006,8.833333333,11.66666667,13.91666667,9.416666667,0,0,0,5.433333333,6.35,4.233333333
LostMagic,1,TRUE,"Action,Role-Playing (RPG)",Ubisoft,68,0.09,14.95,Nintendo DS,T,2006,13.28333333,13.55,19.61666667,7.5,13.01666667,13.01666667,13.01666667,13,14,12
Magnetica,1,TRUE,"Action,Strategy",Nintendo,68,0.09,17.95,Nintendo DS,T,2006,9.933333333,0,0,0,0,0,0,9.933333333,9.933333333,9.933333333
Def Jam Fight for NY: The Takeover,1,TRUE,Action,EA,79,0.09,17.95,Sony PSP,T,2006,5.133333333,0,0,0,0,0,0,5.133333333,5.566666667,4.683333333
NASCAR 07,1,TRUE,"Racing / Driving,Simulation",EA,66,0.09,24.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0
The Ant Bully,1,TRUE,Action,Midway,45,0.09,16.95,Nintendo Wii,T,2006,3.566666667,0,0,0,0,0,0,3.566666667,3.566666667,3.566666667
Just Cause,1,TRUE,"Action,Racing / Driving",Eidos,73,0.09,16.95,X360,E,2006,14.61666667,29.5,39.36666667,24.31666667,19.95,25.98333333,14.51666667,8.6,13.18333333,6.033333333
Onechanbara: Bikini Samurai Squad,1,TRUE,Action,,39,0.09,19.95,X360,E,2006,16.98333333,44.11666667,44.11666667,44.11666667,31.63333333,34.95,28.31666667,5.7,7.633333333,4.566666667
Phantasy Star Universe,1,TRUE,Role-Playing (RPG),Sega,64,0.09,24.95,X360,E,2006,35.13333333,55.5,58.75,52.25,34.5,45.36666667,28.53333333,27.73333333,34.13333333,22.63333333
Project Sylpheed: Arc of Deception,1,TRUE,Action,"Microsoft,SquareEnix",64,0.09,14.95,X360,T,2006,7.65,0,0,0,15,19.5,10.5,5.8,8.666666667,4.25
Winning Eleven: Pro Evolution Soccer 2007,6,TRUE,Sports,Konami,80,0.08,11.95,X360,E,2006,37,64,64,64,0,0,0,10,10,10
Kororinpa: Marble Mania,2,TRUE,"Action,Strategy",Nintendo,69,0.08,17.95,Nintendo Wii,T,2006,0,0,0,0,0,0,0,0,0,0
Digimon World DS,1,TRUE,Role-Playing (RPG),Namco,49,0.08,27.95,Nintendo DS,E,2006,30.65,37,37,37,36.16666667,39.46666667,32.35,21.18333333,24.41666667,17.95
Justice League Heroes,1,TRUE,Action,,43,0.08,17.95,Nintendo DS,E,2006,10.36666667,21.1,21.1,21.1,0,0,0,5,5,5
Innocent Life: A Futuristic Harvest Moon,1,TRUE,"Role-Playing (RPG),Simulation,Strategy",,67,0.08,17.95,Sony PSP,E,2006,33.73333333,0,0,0,33.73333333,33.73333333,33.73333333,0,0,0
Power Stone Collection,1,TRUE,Action,Capcom,74,0.08,14.95,Sony PSP,M,2006,8.366666667,0,0,0,8.366666667,8.366666667,8.366666667,0,0,0
EA Replay,4,TRUE,"Action,Role-Playing (RPG),Simulation,Sports,Strategy",EA,56,0.07,14.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0
Open Season,4,TRUE,Action,Ubisoft,49,0.07,17.95,Nintendo Wii,M,2006,5.466666667,7.616666667,9.016666667,5.766666667,2.25,2.25,2.25,3.666666667,3.783333333,3.533333333
Samurai Warriors 2,4,TRUE,Action,,52,0.07,14.95,X360,M,2006,46.18333333,53.36666667,55.86666667,50.86666667,44.85,47.63333333,42.3,30,30,30
Far Cry: Vengeance,2,TRUE,Action,Ubisoft,38,0.07,16.95,Nintendo Wii,E,2006,0,0,0,0,0,0,0,0,0,0
Import Tuner Challenge,2,TRUE,Racing / Driving,Ubisoft,54,0.07,17.95,X360,E,2006,34.66666667,40,40,40,39,39,39,25,25,25
Contact,1,TRUE,"Adventure,Role-Playing (RPG)",,73,0.07,14.95,Nintendo DS,E,2006,15.6,21.38333333,23.03333333,18.86666667,21.38333333,23.63333333,19.13333333,11.75,13.56666667,9.35
Touch Detective,1,TRUE,Adventure,,60,0.07,14.95,Nintendo DS,T,2006,6.9,8.35,9.583333333,7.116666667,7.5,7.75,7.25,5.983333333,6.983333333,5.316666667
FIFA Street 2,1,TRUE,Sports,EA,58,0.07,17.95,Sony PSP,T,2006,25.71666667,31.78333333,38.03333333,25.53333333,20,20,20,19.5,19.75,19.25
007: From Russia with Love,1,TRUE,"Action,Racing / Driving",EA,61,0.07,17.95,Sony PSP,T,2006,6.383333333,0,0,0,7,7,7,6.333333333,6.65,5.816666667
PaRappa the Rapper,1,TRUE,Action,Sony,67,0.07,12.95,Sony PSP,T,2006,1.7,3.3,3.3,3.3,4.5,5.25,3.75,1.3,1.85,0.933333333
Riviera: The Promised Land,1,TRUE,Role-Playing (RPG),,68,0.07,17.95,Sony PSP,M,2006,24.31666667,0,0,0,24.68333333,27.66666667,22.16666667,24.1,28.31666667,21.08333333
Samurai Warriors: State of War,1,TRUE,Action,,64,0.07,17.95,Sony PSP,E,2006,10.5,0,0,0,0,0,0,10.5,10.5,10.5
Viewtiful Joe: Red Hot Rumble,1,TRUE,Action,Capcom,63,0.07,14.95,Sony PSP,E,2006,10.56666667,0,0,0,13.45,15.21666667,11.66666667,4.8,4.8,4.8
Ice Age 2: The Meltdown,1,TRUE,Action,,66,0.07,17.95,Nintendo Wii,E,2006,9.25,0,0,0,13.5,14.25,12.75,5,5,5
Rumble Roses XX,4,TRUE,"Action,Sports",Konami,62,0.06,17.95,X360,E,2006,119.25,127,168.25,85.75,96,96,96,0,0,0
Bionicle Heroes,1,TRUE,Action,Eidos,72,0.06,16.95,Nintendo DS,T,2006,15.3,17.23333333,18.88333333,15.33333333,24,32,16,8.55,9.566666667,6.916666667
Deep Labyrinth,1,TRUE,Role-Playing (RPG),,57,0.06,10.95,Nintendo DS,T,2006,13.56666667,0,0,0,0,0,0,13.56666667,13.56666667,13.56666667
Blade Dancer: Lineage of Light,1,TRUE,Role-Playing (RPG),,60,0.06,16.95,Sony PSP,E,2006,29.28333333,28.35,28.35,28.35,0,0,0,29.75,29.86666667,29.61666667
Every Extend Extra,1,TRUE,Action,,74,0.06,11.95,Sony PSP,E,2006,12,0,0,0,0,0,0,12,12,12
Ultimate Ghosts 'N' Goblins,1,TRUE,Action,Capcom,72,0.06,17.95,Sony PSP,E,2006,6.15,12.95,12.95,12.95,6.983333333,7.483333333,6.483333333,3.333333333,4.216666667,2.45
Xiaolin Showdown,1,TRUE,Action,Konami,44,0.06,14.95,Sony PSP,M,2006,9.45,16.38333333,16.38333333,16.38333333,0,0,0,6,6,6
Bionicle Heroes,1,TRUE,Action,Eidos,59,0.06,14.95,X360,T,2006,15.3,17.23333333,18.88333333,15.33333333,24,32,16,8.55,9.566666667,6.916666667
Bullet Witch,1,TRUE,Action,Atari,55,0.06,16.95,X360,M,2006,8.533333333,15,15,15,12.41666667,12.85,11.96666667,6.266666667,8.133333333,4.633333333
Death Jr. II: Root of Evil,2,TRUE,Action,Konami,68,0.05,14.95,Sony PSP,E,2006,9.7,0,0,0,13.38333333,13.38333333,13.38333333,6.016666667,6.016666667,6.016666667
Alex Rider: Stormbreaker,1,TRUE,"Action,Adventure",THQ,48,0.05,12.95,Nintendo DS,M,2006,6.5,6.5,6.5,6.5,0,0,0,0,0,0
Cartoon Network Racing,1,TRUE,Racing / Driving,,55,0.05,14.95,Nintendo DS,E,2006,14.86666667,14.86666667,14.86666667,14.86666667,0,0,0,0,0,0
Guilty Gear: Dust Strikers,1,TRUE,Action,,60,0.05,14.95,Nintendo DS,E,2006,0.316666667,0,0,0,0,0,0,0.316666667,0.316666667,0.316666667
Gunpey DS,1,TRUE,Strategy,Namco,70,0.05,12.95,Nintendo DS,E,2006,8,8,8,8,0,0,0,0,0,0
Lara Croft Tomb Raider: Legend,1,TRUE,"Action,Racing / Driving",Eidos,58,0.05,17.95,Nintendo DS,E,2006,9.15,15.85,22.95,10.95,8.883333333,11.33333333,5.95,7.766666667,12.5,6.05
Worms: Open Warfare,1,TRUE,"Action,Strategy",THQ,64,0.05,17.95,Nintendo DS,E,2006,9.116666667,10,10,10,0,0,0,8.25,8.25,8.25
Mercury Meltdown,1,TRUE,Strategy,,78,0.05,12.95,Sony PSP,M,2006,0,0,0,0,0,0,0,0,0,0
MTX Mototrax,1,TRUE,"Racing / Driving,Sports",Activision,67,0.05,19.95,Sony PSP,M,2006,0,0,0,0,0,0,0,0,0,0
Snoopy vs. the Red Baron,1,TRUE,Action,Namco,76,0.05,17.95,Sony PSP,E,2006,6,0,0,0,0,0,0,6,6,6
Super Monkey Ball Adventure,1,TRUE,"Action,Racing / Driving",Sega,56,0.05,24.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0
Ys VI: The Ark of Napishtim,1,TRUE,"Action,Role-Playing (RPG)",Konami,64,0.05,16.95,Sony PSP,E,2006,14.71666667,17.93333333,22.45,12.85,14.36666667,17.61666667,11.55,14.36666667,21.83333333,10.58333333
Bomberman Land Touch!,1,TRUE,Action,,78,0.04,24.95,Nintendo DS,E,2006,16.41666667,0,0,0,17.13333333,22.56666667,11.7,15,15,15
Point Blank DS,1,TRUE,Action,"Atari,Namco",66,0.04,17.95,Nintendo DS,M,2006,0.9,0,0,0,0,0,0,0.9,2.5,0.3
Scurge: Hive,1,TRUE,Action,,70,0.04,8.95,Nintendo DS,M,2006,10.78333333,13.35,14.78333333,11.91666667,0,0,0,10.31666667,13.3,8.466666667
Star Trek: Tactical Assault,1,TRUE,"Action,Strategy",Ubisoft,63,0.04,17.95,Nintendo DS,T,2006,0,0,0,0,0,0,0,0,0,0
Tao's Adventure: Curse of the Demon Seal,1,TRUE,Role-Playing (RPG),Konami,50,0.04,14.95,Nintendo DS,E,2006,45,0,0,0,0,0,0,45,45,45
Ford Bold Moves Street Racing,1,TRUE,Racing / Driving,Eidos,52,0.04,17.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0
Gitaroo Man Lives!,1,TRUE,Simulation,,80,0.04,22.95,Sony PSP,E,2006,2.433333333,0,0,0,2.683333333,3.283333333,2.083333333,2.333333333,3.55,1.633333333
Gradius Collection,1,TRUE,Action,Konami,76,0.04,17.95,Sony PSP,T,2006,10.11666667,0,0,0,10.25,10.25,10.25,10,10,10
The Legend of Heroes II: Prophecy of the Moonli...,1,TRUE,Role-Playing (RPG),Namco,63,0.04,17.95,Sony PSP,E,2006,24.7,35,35,35,22.5,23.75,21.25,23.53333333,26.03333333,20.08333333
Pac-Man World Rally,1,TRUE,"Action,Racing / Driving",Namco,51,0.04,17.95,Sony PSP,T,2006,2.75,0,0,0,0,0,0,2.75,3.866666667,1.616666667
Bomberman: Act Zero,1,TRUE,Action,Konami,34,0.04,12.95,X360,E,2006,0,0,0,0,0,0,0,0,0,0
Earth Defense Force 2017,2,TRUE,Action,,69,0.03,17.95,X360,T,2006,22.46666667,60.5,60.75,60.25,33.5,51.5,19,9.85,12.45,8.633333333
WarTech: Senko no Ronde,2,TRUE,Action,Ubisoft,60,0.03,12.95,X360,T,2006,25.88333333,101,101,101,0,0,0,0.85,1.116666667,0.583333333
MechAssault: Phantom War,1,TRUE,Action,,66,0.03,12.95,Nintendo DS,E,2006,7.5,0,0,0,0,0,0,7.5,8.116666667,6.866666667
Astonishia Story,1,TRUE,"Role-Playing (RPG),Strategy",Ubisoft,48,0.03,16.95,Sony PSP,T,2006,19.05,16.73333333,16.73333333,16.73333333,21.28333333,21.28333333,21.28333333,19.15,19.15,19.15
B-Boy,1,TRUE,Action,Sony,50,0.03,17.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0
BattleZone,1,TRUE,Action,Atari,57,0.03,14.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0
Bounty Hounds,1,TRUE,"Action,Strategy",Namco,63,0.03,17.95,Sony PSP,T,2006,0,0,0,0,0,0,0,0,0,0
Bubble Bobble Evolution,1,TRUE,Action,,47,0.03,12.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0
MotoGP,1,TRUE,"Racing / Driving,Sports",Sony,69,0.03,32.95,Sony PSP,E,2006,7.5,0,0,0,0,0,0,7.5,7.5,7.5
OutRun 2006: Coast 2 Coast,1,TRUE,Racing / Driving,Sega,82,0.03,17.95,Sony PSP,E,2006,5.183333333,0,0,0,0,0,0,5.183333333,7.116666667,3.783333333
Warhammer: Battle for Atluma,1,TRUE,Strategy,Namco,55,0.03,17.95,Sony PSP,M,2006,0,0,0,0,0,0,0,0,0,0
SBK: Snowboard Kids,1,TRUE,"Action,Sports",,63,0.02,19.95,Nintendo DS,E,2006,6.316666667,6.316666667,6.716666667,5.9,0,0,0,0,0,0
Tenchu: Dark Secret,1,TRUE,Action,Nintendo,37,0.02,14.95,Nintendo DS,E,2006,7.1,0,0,0,0,0,0,7.1,7.8,6.4
Dungeon Maker: Hunting Ground,1,TRUE,"Action,Role-Playing (RPG)",,70,0.02,14.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0
Metal Gear Solid: Digital Graphic Novel,1,TRUE,Adventure,Konami,78,0.02,17.95,Sony PSP,T,2006,3.183333333,3,3,3,0,0,0,3.25,3.416666667,3.083333333
Star Trek: Tactical Assault,1,TRUE,"Action,Strategy",Ubisoft,64,0.02,17.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0
Micro Machines V4,2,TRUE,"Action,Racing / Driving",,61,0.01,17.95,Sony PSP,E,2006,0,0,0,0,0,0,0,0,0,0
Platypus,2,TRUE,Action,,59,0.01,14.95,Sony PSP,T,2006,1.433333333,0,0,0,0,0,0,1.433333333,1.666666667,1.2
Custom Robo Arena,1,TRUE,"Action,Role-Playing (RPG)",Nintendo,74,0.01,17.95,Nintendo DS,T,2006,24.03333333,48,48,48,21,21,21,18.8,20.48333333,16.98333333
Gurumin: A Monstrous Adventure,1,TRUE,Action,,78,0.01,13.95,Sony PSP,T,2006,11.51666667,19,19,19,12.8,16.55,10.35,9.316666667,10.26666667,8.416666667
Spider-Man 3,1,TRUE,Action,Ubisoft,58,0.01,6.95,Sony PSP,M,2006,10.83333333,10.81666667,10.81666667,10.81666667,12.55,16.96666667,10.96666667,9.633333333,12.48333333,7.416666667
Wii Fit,1,TRUE,"Educational,Sports",Nintendo,80,9.6,24.95,Nintendo Wii,T,2007,6.066666667,0,0,0,12,13.75,10.25,3.85,4.45,3.45
Halo 3,4,TRUE,Action,Microsoft,94,8.03,24.95,X360,E,2007,10.35,16.68333333,37.91666667,12.41666667,12.76666667,25.93333333,7.933333333,8.866666667,14.46666667,6.35
Call of Duty 4: Modern Warfare,4,TRUE,Action,Activision,94,5.77,29.95,X360,E,2007,8.016666667,16.65,31.13333333,11.31666667,9.7,29.66666667,6.516666667,6.75,13.43333333,4.433333333
Super Mario Galaxy,2,TRUE,Action,Nintendo,97,4.94,39.95,Nintendo Wii,E,2007,24.83333333,44.3,62.68333333,28.1,26.51666667,43.33333333,18.33333333,15.28333333,25.4,9.733333333
Mario Party DS,1,TRUE,"Action,Strategy",Nintendo,72,4.34,27.95,Nintendo DS,T,2007,8.033333333,8,8,8,8.2,10.96666667,5.433333333,7.966666667,13.7,5.2
Mario Party 8,4,TRUE,"Action,Strategy",Nintendo,62,3.84,39.95,Nintendo Wii,T,2007,6.2,8,9.75,6.25,11,12.96666667,9.033333333,4.216666667,5.05,3.55
Guitar Hero III: Legends of Rock,2,TRUE,"Action,Simulation",Activision,85,3.28,12.95,X360,T,2007,15.18333333,18.9,25.71666667,13.46666667,27.06666667,60.63333333,12.13333333,8.216666667,19.05,5.55
Link's Crossbow Training,1,TRUE,Action,Nintendo,68,3.2,14.95,Nintendo Wii,E,2007,2.1,3.616666667,4.1,2.916666667,2.966666667,3.866666667,2.416666667,1.483333333,2.15,1.033333333
Guitar Hero III: Legends of Rock,2,TRUE,"Action,Simulation",Activision,86,3.19,49.95,Nintendo Wii,T,2007,15.18333333,18.9,25.71666667,13.46666667,27.06666667,60.63333333,12.13333333,8.216666667,19.05,5.55
Assassin's Creed,1,TRUE,Action,Ubisoft,81,3.17,16.95,X360,T,2007,18.75,31.93333333,63.25,22.98333333,19.75,34.33333333,13.58333333,15.3,23.56666667,10.56666667
LEGO Star Wars: The Complete Saga,2,TRUE,Action,,80,3.03,17.95,Nintendo Wii,M,2007,24.88333333,39.81666667,49.81666667,32.38333333,25.5,52.11666667,15.96666667,14.66666667,27.16666667,11
Call of Duty 4: Modern Warfare,4,TRUE,Action,Activision,94,2.91,24.95,PlayStation 3,E,2007,8.016666667,16.65,31.13333333,11.31666667,9.7,29.66666667,6.516666667,6.75,13.43333333,4.433333333
Mario & Sonic at the Olympic Games,4,TRUE,"Action,Sports","Nintendo,Sega",67,2.74,29.95,Nintendo Wii,E,2007,9.233333333,10,10.5,9.5,9.583333333,9.866666667,9.283333333,7,7,7
LEGO Star Wars: The Complete Saga,1,TRUE,"Action,Racing / Driving",,80,2.66,17.95,Nintendo DS,E,2007,24.88333333,39.81666667,49.81666667,32.38333333,25.5,52.11666667,15.96666667,14.66666667,27.16666667,11
Forza Motorsport 2,2,TRUE,Racing / Driving,Microsoft,90,2.48,12.95,X360,T,2007,59.55,70.5,78.96666667,63.56666667,57.4,64.1,48.1,54.06666667,57.06666667,50.06666667
Madden NFL 08,4,TRUE,Sports,EA,85,2.32,9.95,X360,E,2007,106,10,10,10,291,291,291,17,17,17
Guitar Hero II,2,TRUE,"Action,Simulation",Activision,92,2.04,17.95,X360,T,2007,13.41666667,30,37.5,22.5,22.01666667,33,13.5,8.9,19.46666667,5.316666667
Rock Band,4,TRUE,"Action,Simulation",,92,2.02,14.95,X360,E,2007,19.36666667,42,42,42,35.51666667,95.46666667,18.46666667,7.583333333,9.833333333,6.333333333
The Legend of Zelda: Phantom Hourglass,1,TRUE,Action,Nintendo,90,1.92,24.95,Nintendo DS,E,2007,20.21666667,30.33333333,44.11666667,23.61666667,20.81666667,32.58333333,15.2,16.1,20.6,12.66666667
Pokmon Mystery Dungeon: Explorers of Darkness,1,TRUE,Role-Playing (RPG),Nintendo,59,1.91,15.95,Nintendo DS,E,2007,31.18333333,75.06666667,80.55,66.55,31.51666667,41.75,25.4,21.76666667,30.65,18.2
Pokmon Mystery Dungeon: Explorers of Time,1,TRUE,Role-Playing (RPG),Nintendo,59,1.91,24.95,Nintendo DS,T,2007,31.18333333,75.06666667,80.55,66.55,31.51666667,41.75,25.4,21.76666667,30.65,18.2
Assassin's Creed,1,TRUE,Action,Ubisoft,81,1.77,17.95,PlayStation 3,T,2007,18.75,31.93333333,63.25,22.98333333,19.75,34.33333333,13.58333333,15.3,23.56666667,10.56666667
Uncharted: Drake's Fortune,1,TRUE,Action,Sony,88,1.76,24.95,PlayStation 3,T,2007,9.5,17.26666667,36.05,12.11666667,10.3,15.4,7.766666667,8.5,16.73333333,6.116666667
Mass Effect,1,TRUE,"Action,Role-Playing (RPG)",Microsoft,91,1.57,17.95,X360,T,2007,28.06666667,44.78333333,121.4,28.53333333,29.73333333,60.93333333,18.76666667,17.38333333,69.96666667,11.53333333
Cooking Mama 2: Dinner with Friends,1,TRUE,Simulation,,70,1.56,17.95,Nintendo DS,E,2007,8.216666667,22.93333333,22.93333333,22.93333333,0,0,0,5.266666667,5.6,5.1
BioShock,1,TRUE,Action,2K,96,1.52,16.95,X360,T,2007,14.66666667,21.75,33.43333333,15.16666667,16.33333333,33.13333333,10.83333333,12.26666667,21.06666667,8.566666667
Super Paper Mario,1,TRUE,"Action,Role-Playing (RPG)",Nintendo,85,1.5,29.95,Nintendo Wii,E,2007,22.8,48.88333333,64.31666667,36.81666667,24.08333333,31.56666667,19.08333333,17.96666667,20.36666667,15.23333333
Game Party,4,TRUE,Action,Midway,25,1.49,14.95,Nintendo Wii,T,2007,2,2,2,2,0,0,0,0,0,0
Ratchet & Clank: Size Matters,1,TRUE,Action,Sony,85,1.47,14.95,Sony PSP,E,2007,8.016666667,16.03333333,19.28333333,12.31666667,7.866666667,10.98333333,5.983333333,7.116666667,10.51666667,5.833333333
Dance Dance Revolution Hottest Party,4,TRUE,Action,Konami,73,1.45,17.95,Nintendo Wii,T,2007,8,0,0,0,0,0,0,8,8,8
Cooking Mama: Cook Off,2,TRUE,Simulation,,61,1.38,14.95,Nintendo Wii,M,2007,3.4,0,0,0,0,0,0,3.4,3.4,3.4
Gran Turismo 5: Prologue,2,TRUE,"Racing / Driving,Simulation",Sony,80,1.31,24.95,PlayStation 3,E,2007,13.93333333,0,0,0,27.5,28.75,26.25,10.55,12.31666667,8.316666667
Professor Layton and the Curious Village,1,TRUE,"Adventure,Educational,Strategy",Nintendo,85,1.26,23.95,Nintendo DS,E,2007,14.41666667,15.5,37.55,11.83333333,15.53333333,36.53333333,10.6,12.8,33.81666667,8.416666667
Resident Evil 4,1,TRUE,Action,Capcom,91,1.24,16.95,Nintendo Wii,T,2007,18.76666667,28.05,53.25,17.75,20.83333333,32.7,14.2,16.11666667,27.61666667,10.01666667
The Elder Scrolls IV: Oblivion,1,TRUE,"Action,Role-Playing (RPG)",Ubisoft,93,1.2,17.95,PlayStation 3,T,2007,101.0833333,195.0333333,335.0333333,116,96.9,310.9666667,52.75,26.83333333,99.2,14.95
Transformers: Autobots,1,TRUE,"Action,Racing / Driving",Activision,67,1.17,17.95,Nintendo DS,E,2007,0,0,0,0,0,0,0,0,0,0
Transformers: Decepticons,1,TRUE,"Action,Racing / Driving",Activision,66,1.17,17.95,Nintendo DS,M,2007,0,0,0,0,0,0,0,0,0,0
Diddy Kong Racing DS,1,TRUE,"Racing / Driving,Sports",Nintendo,63,1.16,24.95,Nintendo DS,T,2007,14.65,23.81666667,25.03333333,22.61666667,0,0,0,10.05,11.76666667,7.85
Big Brain Academy: Wii Degree,8,TRUE,Action,Nintendo,68,1.1,19.95,Nintendo Wii,M,2007,20,0,0,0,20,20,20,0,0,0
